ori,ncic_agency_name,agency_name_edit,agency_type_name,state_abbr,data_year,population,male_officer_ct,male_civilian_ct,male_total_ct,female_officer_ct,female_civilian_ct,female_total_ct,officer_ct,civilian_ct,total_pe_ct,pe_ct_per_1000
NH0091000,LEE PD,LEE PD,City,NH,2022,4634,5,0,5,2,1,3,7,1,8,1.73
MN0290100,PARK RAPIDS PD,PARK RAPIDS PD,City,MN,2022,4186,10,0,10,1,1,2,11,1,12,2.87
ND0430000,SIOUX CO SO FORT YATES,SIOUX CO SO FORT YATES,County,ND,2022,3634,1,0,1,0,0,0,1,0,1,0.28
TX2273600,THE CITY OF BEE CAVE POLICE DEPARTMENT,THE CITY OF BEE CAVE POLICE DEPARTMENT,City,TX,2022,8870,18,1,19,1,1,2,19,2,21,2.37
MT0300000,MEAGHER CO SO WHITE SULPHUR SPRINGS,MEAGHER CO SO WHITE SULPHUR SPRINGS,County,MT,2022,2004,4,0,4,0,5,5,4,5,9,4.49
OK0601000,OK STATE UNIV: MAIN CAMP,OK STATE UNIV: MAIN CAMP,University or College,OK,2022,0,29,5,34,5,6,11,34,11,45,
MN0272800,MINNETRISTA PUBLIC SAFETY DEPARTMENT,MINNETRISTA PUBLIC SAFETY DEPARTMENT,City,MN,2022,10959,13,2,15,0,2,2,13,4,17,1.55
AR0470600,,,City,AR,2022,728,1,0,1,0,0,0,1,0,1,1.37
OK0721400,OK STATE UNIV: TULSA,OK STATE UNIV: TULSA,University or College,OK,2022,0,6,0,6,1,1,2,7,1,8,
CO0480200,HAXTUN,HAXTUN,City,CO,2022,968,3,0,3,0,0,0,3,0,3,3.10
UT0020700,MANTUA PD BRIGHAM CITY,MANTUA PD BRIGHAM CITY,City,UT,2022,1336,2,0,2,0,0,0,2,0,2,1.50
MO0482900,,,Other,MO,2022,0,16,1,17,3,1,4,19,2,21,
OK0411500,TRYON,TRYON,City,OK,2022,389,1,0,1,0,1,1,1,1,2,5.14
SC0052600,STATE TRANSPORT POLICE,STATE TRANSPORT POLICE,Other State Agency,SC,2022,0,0,0,0,1,0,1,1,0,1,
CO0020000,ALAMOSA,ALAMOSA,County,CO,2022,6858,16,14,30,4,8,12,20,22,42,6.12
DE0031100,DAGSBORO PD,DAGSBORO PD,City,DE,2022,939,5,0,5,1,0,1,6,0,6,6.39
CO0620500,LA SALLE,LA SALLE,City,CO,2022,2326,6,0,6,1,0,1,7,0,7,3.01
PA0482300,TATAMY PD,TATAMY PD,City,PA,2022,1329,2,0,2,0,0,0,2,0,2,1.50
TN0630000,MONTGOMERY CO SO CLARKSVILLE,MONTGOMERY CO SO CLARKSVILLE,County,TN,2022,60756,133,131,264,28,98,126,161,229,390,6.42
CO0060000,BENT,BENT,County,CO,2022,5885,11,12,23,0,8,8,11,20,31,5.27
WI0400000,MENOMINEE COUNTY SHERIFFS OFF KESHENA,MENOMINEE COUNTY SHERIFFS OFF KESHENA,County,WI,2022,4318,6,2,8,4,4,8,10,6,16,3.71
KS0100100,SEDAN PD,SEDAN PD,City,KS,2022,1006,2,0,2,0,0,0,2,0,2,1.99
KS0260000,ELLIS CO SO HAYS,ELLIS CO SO HAYS,County,KS,2022,4862,18,3,21,2,2,4,20,5,25,5.14
CO0390200,FRUITA,FRUITA,City,CO,2022,13632,16,1,17,2,2,4,18,3,21,1.54
TX1190100,JACKSBORO PD,JACKSBORO PD,City,TX,2022,4292,10,0,10,0,1,1,10,1,11,2.56
SC0230000,GREENVILLE CO SO GREENVILLE,GREENVILLE CO SO GREENVILLE,County,SC,2022,371326,462,19,481,68,80,148,530,99,629,1.69
SD0110200,PLATTE PD,PLATTE PD,City,SD,2022,1243,2,0,2,0,0,0,2,0,2,1.61
SC0230300,GREER PD,GREER PD,City,SC,2022,42196,52,10,62,12,17,29,64,27,91,2.16
NJ0101700,LAMBERTVILLE PD,LAMBERTVILLE PD,City,NJ,2022,4173,10,1,11,0,1,1,10,2,12,2.88
WI0690100,CLINTONVILLE PD,CLINTONVILLE PD,City,WI,2022,4493,12,12,24,0,4,4,12,16,28,6.23
MA0061300,LEVERETT PD,LEVERETT PD,City,MA,2022,1861,2,0,2,1,0,1,3,0,3,1.61
UT0180600,WEST JORDAN PD,WEST JORDAN PD,City,UT,2022,115900,109,9,118,15,25,40,124,34,158,1.36
NJ0020000,BERGEN CO SHERIFFS OFF HACKENSACK,BERGEN CO SHERIFFS OFF HACKENSACK,County,NJ,2022,0,435,40,475,73,66,139,508,106,614,
MN0400000,LE SUEUR CO SO LE CENTER,LE SUEUR CO SO LE CENTER,County,MN,2022,12923,23,10,33,0,17,17,23,27,50,3.87
MO0050200,MONETT,MONETT,City,MO,2022,9782,20,1,21,2,5,7,22,6,28,2.86
ME0160200,KITTERY PD,KITTERY PD,City,ME,2022,10279,21,1,22,1,4,5,22,5,27,2.63
NC0340100,KERNERSVILLE PD,KERNERSVILLE PD,City,NC,2022,27076,59,5,64,6,16,22,65,21,86,3.18
WI0640300,EAGLE RIVER PD,EAGLE RIVER PD,City,WI,2022,1695,4,0,4,2,1,3,6,1,7,4.13
WI0660300,,,City,WI,2022,408,1,0,1,0,0,0,1,0,1,2.45
OR0270100,DALLAS,DALLAS,City,OR,2022,17622,16,0,16,3,3,6,19,3,22,1.25
OH0210600,SHAWNEE HILLS,SHAWNEE HILLS,City,OH,2022,889,5,0,5,0,0,0,5,0,5,5.62
OK0600000,PAYNE,PAYNE,County,OK,2022,21491,42,29,71,5,12,17,47,41,88,4.09
PA0070300,LOGAN TWP PD ALTOONA,LOGAN TWP PD ALTOONA,City,PA,2022,12154,16,0,16,0,2,2,16,2,18,1.48
LA0530600,ROSELAND,ROSELAND,City,LA,2022,903,3,0,3,0,1,1,3,1,4,4.43
CA0030000,AMADOR CO SO JACKSON,AMADOR CO SO JACKSON,County,CA,2022,28625,41,16,57,4,23,27,45,39,84,2.93
OH0182300,HIGHLAND HEIGHTS,HIGHLAND HEIGHTS,City,OH,2022,8536,22,0,22,2,7,9,24,7,31,3.63
WA0171300,RENTON PD,RENTON PD,City,WA,2022,103619,102,5,107,14,24,38,116,29,145,1.40
LA0320100,DENHAM SPRINGS PD,DENHAM SPRINGS PD,City,LA,2022,9361,23,0,23,3,8,11,26,8,34,3.63
TX0570100,ADDISON PD,ADDISON PD,City,TX,2022,17531,52,2,54,9,8,17,61,10,71,4.05
NH0084400,NEWINGTON PD,NEWINGTON PD,City,NH,2022,817,8,1,9,1,1,2,9,2,11,13.46
SD0070100,CHAMBERLAIN PD,CHAMBERLAIN PD,City,SD,2022,2451,7,0,7,0,0,0,7,0,7,2.86
NH0073000,HOOKSETT PD,HOOKSETT PD,City,NH,2022,15313,25,3,28,5,8,13,30,11,41,2.68
TN0830500,WESTMORELAND PD,WESTMORELAND PD,City,TN,2022,2740,10,0,10,2,1,3,12,1,13,4.74
TX0700600,MILFORD PD,MILFORD PD,City,TX,2022,736,5,0,5,1,2,3,6,2,8,10.87
MO0954400,LADUE,LADUE,City,MO,2022,8948,22,1,23,5,0,5,27,1,28,3.13
NC0420800,ST PARK RANGER MEDOC MTN ST PARK ENFIELD,ST PARK RANGER MEDOC MTN ST PARK ENFIELD,Other State Agency,NC,2022,0,2,0,2,0,0,0,2,0,2,
TX1015900,LONE STAR COLLEGE SYSTEM DIST POLICE,LONE STAR COLLEGE SYSTEM DIST POLICE,University or College,TX,2022,0,85,39,124,24,28,52,109,67,176,
AL0310700,SOUTHSIDE PD SOUTHSIDE,SOUTHSIDE PD SOUTHSIDE,City,AL,2022,9524,13,2,15,0,1,1,13,3,16,1.68
AZ0150200,COLORADO RIVER TRIBAL PD PARKER,COLORADO RIVER TRIBAL PD PARKER,Tribal,AZ,2022,0,13,2,15,2,6,8,15,8,23,
KS0871600,PARK CITY PD,PARK CITY PD,City,KS,2022,8565,16,1,17,2,1,3,18,2,20,2.34
MI3053600,LITCHFIELD PD,LITCHFIELD PD,City,MI,2022,1379,3,0,3,0,0,0,3,0,3,2.18
KY0190400,FORT THOMAS PD,FORT THOMAS PD,City,KY,2022,17159,23,0,23,0,1,1,23,1,24,1.40
OK0460200,EUFAULA,EUFAULA,City,OK,2022,2777,11,0,11,0,0,0,11,0,11,3.96
IL0141300,GERMANTOWN PD GERMANTOWN,GERMANTOWN PD GERMANTOWN,City,IL,2022,1312,2,0,2,0,0,0,2,0,2,1.52
MI8196400,NORTHFIELD TWP PD WHITMORE LAKE,NORTHFIELD TWP PD WHITMORE LAKE,City,MI,2022,8438,11,0,11,0,2,2,11,2,13,1.54
OH0060500,MINSTER,MINSTER,City,OH,2022,2993,7,0,7,0,1,1,7,1,8,2.67
OK0580100,COMMERCE,COMMERCE,City,OK,2022,2285,6,0,6,0,0,0,6,0,6,2.63
TX0190800,HOOKS PD,HOOKS PD,City,TX,2022,2510,6,1,7,0,0,0,6,1,7,2.79
KY0300100,OWENSBORO PD,OWENSBORO PD,City,KY,2022,59839,90,9,99,5,25,30,95,34,129,2.16
GA0650100,CAIRO PD,CAIRO PD,City,GA,2022,9864,21,0,21,1,3,4,22,3,25,2.53
ME0020600,PRESQUE ISLE PD,PRESQUE ISLE PD,City,ME,2022,8746,13,2,15,3,3,6,16,5,21,2.40
CA0180000,LASSEN CO SO SUSANVILLE,LASSEN CO SO SUSANVILLE,County,CA,2022,17149,41,8,49,7,21,28,48,29,77,4.49
IL0470000,KENDALL CO SO YORKVILLE,KENDALL CO SO YORKVILLE,County,IL,2022,28184,45,29,74,5,16,21,50,45,95,3.37
NC0140400,HUDSON PD,HUDSON PD,City,NC,2022,3769,11,0,11,1,1,2,12,1,13,3.45
MN0380100,SILVER BAY PD,SILVER BAY PD,City,MN,2022,1865,4,0,4,0,0,0,4,0,4,2.14
VA0340400,LORD FAIRFAX COMM COLLEGE,LORD FAIRFAX COMM COLLEGE,University or College,VA,2022,0,3,0,3,1,0,1,4,0,4,
TX0610800,SANGER POLICE DEPARTMENT,SANGER POLICE DEPARTMENT,City,TX,2022,9877,15,0,15,3,1,4,18,1,19,1.92
KS0720200,MINNEAPOLIS PD,MINNEAPOLIS PD,City,KS,2022,1974,5,0,5,0,0,0,5,0,5,2.53
SD0320100,PIERRE PD,PIERRE PD,City,SD,2022,13977,19,4,23,2,10,12,21,14,35,2.50
PAUNI110X,,,University or College,PA,2022,0,8,0,8,0,1,1,8,1,9,
AR0230500,GUY PD,GUY PD,City,AR,2022,743,2,0,2,0,0,0,2,0,2,2.69
MI8297400,,,University or College,MI,2022,0,12,1,13,1,4,5,13,5,18,
WI0140300,HORICON PD,HORICON PD,City,WI,2022,3827,6,0,6,2,1,3,8,1,9,2.35
NY0022000,ALFRED VILLAGE PD ALFRED,ALFRED VILLAGE PD ALFRED,City,NY,2022,3777,5,0,5,0,0,0,5,0,5,1.32
OH0540400,COLDWATER,COLDWATER,City,OH,2022,4676,10,0,10,0,1,1,10,1,11,2.35
TX1460300,DAYTON PD,DAYTON PD,City,TX,2022,9451,15,0,15,3,7,10,18,7,25,2.65
MA0020400,CHESHIRE PD,CHESHIRE PD,City,MA,2022,3226,2,0,2,0,0,0,2,0,2,0.62
TX1750100,CORSICANA PD,CORSICANA PD,City,TX,2022,25585,30,1,31,4,8,12,34,9,43,1.68
CA0310400,ROCKLIN PD,ROCKLIN PD,City,CA,2022,74168,50,2,52,5,21,26,55,23,78,1.05
MI6162500,NORTON SHORES PD MUSKEGON,NORTON SHORES PD MUSKEGON,City,MI,2022,25226,33,2,35,3,3,6,36,5,41,1.63
TN0790500,UNIV OF TN: HEALTH SCI C,UNIV OF TN: HEALTH SCI C,University or College,TN,2022,0,23,10,33,7,29,36,30,39,69,
OK0590100,CLEVELAND,CLEVELAND,City,OK,2022,3243,6,0,6,0,0,0,6,0,6,1.85
WI0620000,TREMPEALEAU CO SO WHITEHALL,TREMPEALEAU CO SO WHITEHALL,County,WI,2022,15549,25,14,39,3,17,20,28,31,59,3.79
VT0130100,BELLOWS FALLS PD,BELLOWS FALLS PD,City,VT,2022,2820,3,0,3,0,1,1,3,1,4,1.42
WY0030100,GILLETTE PD,GILLETTE PD,City,WY,2022,32320,51,2,53,6,22,28,57,24,81,2.51
NC026089E,METHODIST UNIVERSITY POLICE DEPARTMENT,METHODIST UNIVERSITY POLICE DEPARTMENT,University or College,NC,2022,0,6,8,14,1,4,5,7,12,19,
UT0271500,IVINS PUBLIC SAFETY DEPARTMENT,IVINS PUBLIC SAFETY DEPARTMENT,City,UT,2022,18275,14,0,14,1,3,4,15,3,18,0.98
PA0233400,TRAINER PD CHESTER,TRAINER PD CHESTER,City,PA,2022,1944,6,0,6,0,0,0,6,0,6,3.09
KY0340300,UNIVERSITY OF KENTUCKY PD LEXINGTON,UNIVERSITY OF KENTUCKY PD LEXINGTON,University or College,KY,2022,0,51,83,134,3,37,40,54,120,174,
OR0050500,VERNONIA,VERNONIA,City,OR,2022,2432,4,0,4,0,1,1,4,1,5,2.06
GA1250000,SEMINOLE CO SO DONALSONVILLE,SEMINOLE CO SO DONALSONVILLE,County,GA,2022,6454,20,2,22,5,7,12,25,9,34,5.27
IA0310300,DYERSVILLE PD,DYERSVILLE PD,City,IA,2022,4516,6,0,6,1,0,1,7,0,7,1.55
OK0451800,WRIGHT CITY,WRIGHT CITY,City,OK,2022,610,2,2,4,0,0,0,2,2,4,6.56
IN0320200,DANVILLE PD,DANVILLE PD,City,IN,2022,10925,20,0,20,2,2,4,22,2,24,2.20
OK0110000,CHEROKEE,CHEROKEE,County,OK,2022,30989,25,1,26,2,6,8,27,7,34,1.10
LADI00500,TUNICA BILOXI TRIBAL POLICE,TUNICA BILOXI TRIBAL POLICE,Tribal,LA,2022,0,11,0,11,2,1,3,13,1,14,
WA0010100,OTHELLO PD,OTHELLO PD,City,WA,2022,8876,17,3,20,0,5,5,17,8,25,2.82
NB0280600,BOYS TOWN PD,BOYS TOWN PD,City,NB,2022,413,10,0,10,0,0,0,10,0,10,24.21
NC0790100,EDEN PD,EDEN PD,City,NC,2022,15253,38,1,39,5,3,8,43,4,47,3.08
FL0510200,NEW PORT RICHEY PD,NEW PORT RICHEY PD,City,FL,2022,17249,37,5,42,3,9,12,40,14,54,3.13
TX2203300,UNIV OF TEXAS PD ARLINGTON,UNIV OF TEXAS PD ARLINGTON,University or College,TX,2022,0,34,24,58,9,20,29,43,44,87,
NY0320200,UTICA CITY PD UTICA,UTICA CITY PD UTICA,City,NY,2022,63906,153,8,161,12,8,20,165,16,181,2.83
TN0230200,NEWBERN PD,NEWBERN PD,City,TN,2022,3296,11,0,11,1,0,1,12,0,12,3.64
MO116069E,,,Other,MO,2022,0,5,0,5,0,0,0,5,0,5,
AR0042100,BELLA VISTA POLICE DEPARTMENT,BELLA VISTA POLICE DEPARTMENT,City,AR,2022,31316,38,8,46,1,9,10,39,17,56,1.79
MI3047300,HILLSDALE PD,HILLSDALE PD,City,MI,2022,8157,12,1,13,1,2,3,13,3,16,1.96
TX1610200,PALACIOS PD,PALACIOS PD,City,TX,2022,4425,9,1,10,0,1,1,9,2,11,2.49
TN0240000,FAYETTE CO SO SOMERVILLE,FAYETTE CO SO SOMERVILLE,County,TN,2022,25274,48,21,69,1,19,20,49,40,89,3.52
TX0180200,VALLEY MILLS POLICE DEPART,VALLEY MILLS POLICE DEPART,City,TX,2022,1256,2,0,2,2,0,2,4,0,4,3.18
MD0170300,BRENTWOOD POLICE DEPARTMENT,BRENTWOOD POLICE DEPARTMENT,City,MD,2022,3724,4,0,4,0,1,1,4,1,5,1.34
MS0610200,PEARL PD,PEARL PD,City,MS,2022,27484,45,5,50,6,8,14,51,13,64,2.33
IL0164000,GLENWOOD PD,GLENWOOD PD,City,IL,2022,8317,20,0,20,1,4,5,21,4,25,3.01
SD0150000,CORSON CO SO MC INTOSH,CORSON CO SO MC INTOSH,County,SD,2022,3876,5,0,5,0,0,0,5,0,5,1.29
OR0290500,MANZANITA,MANZANITA,City,OR,2022,625,4,0,4,0,0,0,4,0,4,6.40
NC0790300,MADISON PD,MADISON PD,City,NC,2022,2112,11,0,11,5,0,5,16,0,16,7.58
NJ0100600,CLINTON TWP PD ANNANDALE,CLINTON TWP PD ANNANDALE,City,NJ,2022,13759,22,0,22,2,3,5,24,3,27,1.96
GA0650000,GRADY CO SO CAIRO,GRADY CO SO CAIRO,County,GA,2022,15423,21,0,21,0,3,3,21,3,24,1.56
AZ0091300,PINETOP-LAKESIDE PD,PINETOP-LAKESIDE PD,City,AZ,2022,4179,14,1,15,1,4,5,15,5,20,4.79
TX0360700,MONT BELVIEU PD MONT BELVIEU,MONT BELVIEU PD MONT BELVIEU,City,TX,2022,8902,18,0,18,4,9,13,22,9,31,3.48
IA0230200,CAMANCHE PD,CAMANCHE PD,City,IA,2022,4587,6,0,6,2,0,2,8,0,8,1.74
WV0140100,ROMNEY PD,ROMNEY PD,City,WV,2022,1718,4,0,4,1,1,2,5,1,6,3.49
MN0740100,OWATONNA PD,OWATONNA PD,City,MN,2022,26394,31,1,32,6,3,9,37,4,41,1.55
MN0520100,NORTH MANKATO PD,NORTH MANKATO PD,City,MN,2022,14403,13,0,13,2,1,3,15,1,16,1.11
MA0141600,GARDNER PD,GARDNER PD,City,MA,2022,21231,24,4,28,3,13,16,27,17,44,2.07
NM0010100,ALBUQUERQUE PD,ALBUQUERQUE PD,City,NM,2022,560557,759,190,949,140,394,534,899,584,1483,2.65
OH0770100,AKRON,AKRON,City,OH,2022,188534,407,8,415,39,30,69,446,38,484,2.57
WA0174200,NEWCASTLE POLICE DEPARTMENT,NEWCASTLE POLICE DEPARTMENT,City,WA,2022,12782,9,0,9,2,3,5,11,3,14,1.10
CA0550100,SONORA PD,SONORA PD,City,CA,2022,5025,9,0,9,1,6,7,10,6,16,3.18
CA0270100,CARMEL PD,CARMEL PD,City,CA,2022,3176,11,0,11,1,8,9,12,8,20,6.30
KY0140000,BRECKINRIDGE CO SO HARDINSBURG,BRECKINRIDGE CO SO HARDINSBURG,County,KY,2022,16056,7,2,9,0,0,0,7,2,9,0.56
MO0780000,PEMISCOT,PEMISCOT,County,MO,2022,5151,21,13,34,0,15,15,21,28,49,9.51
MN0030000,BECKER CO SO DETROIT LAKES,BECKER CO SO DETROIT LAKES,County,MN,2022,22816,22,28,50,2,18,20,24,46,70,3.07
MO0190200,BELTON,BELTON,City,MO,2022,24395,35,13,48,5,11,16,40,24,64,2.62
WI0410500,FRANKLIN PD,FRANKLIN PD,City,WI,2022,36396,49,6,55,8,12,20,57,18,75,2.06
MI3382600,WILLIAMSTON PD,WILLIAMSTON PD,City,MI,2022,3780,5,1,6,1,1,2,6,2,8,2.12
SC036NR00,DNR: NEWBERRY COUNTY,DNR: NEWBERRY COUNTY,Other State Agency,SC,2022,0,3,0,3,0,0,0,3,0,3,
IL0164600,HICKORY HILLS PD,HICKORY HILLS PD,City,IL,2022,13924,21,3,24,4,7,11,25,10,35,2.51
KY0900000,NELSON CO SO BARDSTOWN,NELSON CO SO BARDSTOWN,County,KY,2022,31915,29,0,29,1,6,7,30,6,36,1.13
FL0060500,HOLLYWOOD PD,HOLLYWOOD PD,City,FL,2022,151559,271,31,302,53,81,134,324,112,436,2.88
TX1880200,AMARILLO COLLEGE PD AMARILLO,AMARILLO COLLEGE PD AMARILLO,University or College,TX,2022,0,10,1,11,1,1,2,11,2,13,
TN0780500,4TH JUDICIAL DIST DRUG TASK FORCE SEVIERVILLE,4TH JUDICIAL DIST DRUG TASK FORCE SEVIERVILLE,Other,TN,2022,0,1,0,1,0,0,0,1,0,1,
SC0290100,LANCASTER PD,LANCASTER PD,City,SC,2022,8678,27,1,28,6,11,17,33,12,45,5.19
NY0272800,BROCKPORT VILLAGE PD BROCKPORT,BROCKPORT VILLAGE PD BROCKPORT,City,NY,2022,6924,12,0,12,1,1,2,13,1,14,2.02
NB0710100,COLUMBUS PD,COLUMBUS PD,City,NB,2022,24158,32,1,33,3,5,8,35,6,41,1.70
VA1240000,SOUTH BOSTON PD,SOUTH BOSTON PD,City,VA,2022,7884,23,0,23,2,2,4,25,2,27,3.42
IA0570300,HIAWATHA PD,HIAWATHA PD,City,IA,2022,7109,14,0,14,1,0,1,15,0,15,2.11
FL0110300,CITY OF MARCO ISLAND POLICE DEPARTMENT,CITY OF MARCO ISLAND POLICE DEPARTMENT,City,FL,2022,16137,35,3,38,3,5,8,38,8,46,2.85
WVWSP3100,STATE POLICE OAK HILL,STATE POLICE OAK HILL,State Police,WV,2022,0,6,0,6,0,1,1,6,1,7,
GA1460400,CHICKAMAUGA PD,CHICKAMAUGA PD,City,GA,2022,3223,5,0,5,0,0,0,5,0,5,1.55
SD0140000,CODINGTON CO SO WATERTOWN,CODINGTON CO SO WATERTOWN,County,SD,2022,5901,12,7,19,0,12,12,12,19,31,5.25
MO0140500,HOLTS SUMMIT,HOLTS SUMMIT,City,MO,2022,5431,5,0,5,1,1,2,6,1,7,1.29
MS0260100,DURANT PD,DURANT PD,City,MS,2022,2076,4,3,7,1,2,3,5,5,10,4.82
TX2202100,NORTH RICHLAND HILLS POLICE DEPARTMENT,NORTH RICHLAND HILLS POLICE DEPARTMENT,City,TX,2022,70108,107,27,134,14,61,75,121,88,209,2.98
MO0850400,ST. ROBERT,ST. ROBERT,City,MO,2022,5399,14,0,14,3,8,11,17,8,25,4.63
MN0310400,,,City,MN,2022,968,3,0,3,0,0,0,3,0,3,3.10
KS0870300,WICHITA POLICE DEPARTMENT,WICHITA POLICE DEPARTMENT,City,KS,2022,394286,549,47,596,116,125,241,665,172,837,2.12
MS0470100,HOLLY SPRINGS PD,HOLLY SPRINGS PD,City,MS,2022,6488,12,0,12,2,4,6,14,4,18,2.77
MN0140300,,,City,MN,2022,2227,5,0,5,0,0,0,5,0,5,2.25
NV0130000,CARSON CITY SHERIFF'S OFFICE CARSON CITY,CARSON CITY SHERIFF'S OFFICE CARSON CITY,County,NV,2022,59377,92,6,98,8,32,40,100,38,138,2.32
OH0430700,MENTOR-ON-THE-LAKE,MENTOR-ON-THE-LAKE,City,OH,2022,7072,9,0,9,1,4,5,10,4,14,1.98
TX1700400,,,Other,TX,2022,0,46,0,46,8,5,13,54,5,59,
WI0440000,ONEIDA CO SO RHINELANDER,ONEIDA CO SO RHINELANDER,County,WI,2022,20524,27,46,73,7,33,40,34,79,113,5.51
MN0731600,AVON PD,AVON PD,City,MN,2022,1680,3,0,3,0,1,1,3,1,4,2.38
NC0860100,ELKIN PD,ELKIN PD,City,NC,2022,4045,14,1,15,2,3,5,16,4,20,4.94
IN0570000,NOBLE CO SO ALBION,NOBLE CO SO ALBION,County,IN,2022,30157,46,2,48,8,10,18,54,12,66,2.19
CO0630000,YUMA,YUMA,County,CO,2022,4160,8,7,15,1,0,1,9,7,16,3.85
NC0350400,BUNN PD,BUNN PD,City,NC,2022,353,1,0,1,1,1,2,2,1,3,8.50
NC0030200,ST PARK RANGER STONE MTN SP PARK ROARING GAP,ST PARK RANGER STONE MTN SP PARK ROARING GAP,Other State Agency,NC,2022,0,3,5,8,3,0,3,6,5,11,
CADIT1400,,,Tribal,CA,2022,0,10,0,10,0,0,0,10,0,10,
MD0172200,RIVERDALE PARK POLICE DEPARTMENT,RIVERDALE PARK POLICE DEPARTMENT,City,MD,2022,7156,22,2,24,2,4,6,24,6,30,4.19
WVWSP3600,STATE POLICE PHILIPPI,STATE POLICE PHILIPPI,State Police,WV,2022,0,5,0,5,0,1,1,5,1,6,
PA0031200,SOUTH BUFFALO TWP PD FREEPORT,SOUTH BUFFALO TWP PD FREEPORT,City,PA,2022,2681,3,0,3,0,0,0,3,0,3,1.12
UT0271000,WASHINGTON PD,WASHINGTON PD,City,UT,2022,33535,34,6,40,0,3,3,34,9,43,1.28
MA0021200,LANESBORO PD,LANESBORO PD,City,MA,2022,3021,6,0,6,0,0,0,6,0,6,1.99
CA0290000,NEVADA CO SO NEVADA CITY,NEVADA CO SO NEVADA CITY,County,CA,2022,70380,55,44,99,5,51,56,60,95,155,2.20
CA0190100,ALHAMBRA PD,ALHAMBRA PD,City,CA,2022,79703,67,5,72,10,36,46,77,41,118,1.48
MS0760200,LELAND PD,LELAND PD,City,MS,2022,3798,10,2,12,1,7,8,11,9,20,5.27
TN0740100,SPRINGFIELD PD,SPRINGFIELD PD,City,TN,2022,19330,30,0,30,5,3,8,35,3,38,1.97
AK0010300,JUNEAU PD,JUNEAU PD,City,AK,2022,31775,43,12,55,3,22,25,46,34,80,2.52
CA0210300,FAIRFAX PD,FAIRFAX PD,City,CA,2022,7477,9,3,12,1,3,4,10,6,16,2.14
NJ0022600,HAWORTH PD,HAWORTH PD,City,NJ,2022,3288,12,1,13,0,0,0,12,1,13,3.95
