ori,aggravated_assault,arson,burglary,homicide,human_trafficing,larceny,motor_vehicle_theft,property_crime,rape,robbery,violent_crime
ND0390600,0,0,3,0,0,15,1,19,1,0,1
VT0030100,4,0,3,0,0,46,0,49,0,0,4
MN0750000,5,0,5,0,0,33,4,42,1,0,6
MDMSP4000,3,0,3,0,2,20,3,26,1,0,4
OH0521200,1,0,2,0,0,7,0,9,0,0,1
PA0240200,2,0,2,0,0,22,0,24,0,0,2
RI0030100,1,0,5,0,0,16,2,23,0,0,1
NJ0081500,1,0,12,0,0,17,2,31,0,0,1
MN0080200,6,0,1,0,0,2,1,4,2,0,8
CA0152200,0,0,31,0,0,144,0,175,0,0,0
TX2470700,0,0,12,0,0,16,16,44,0,0,0
AL0560400,0,0,0,0,0,0,0,0,0,0,0
OR022SP00,14,0,0,0,0,19,5,24,0,0,14
MI6160300,253,11,171,7,0,698,138,1007,33,27,320
PA055SP00,36,0,88,1,0,254,30,372,20,3,60
VT0010200,11,0,9,0,0,67,4,80,3,0,14
WVWSP3900,18,2,21,0,0,113,15,149,8,0,26
MO0492100,0,0,1,0,0,11,2,14,2,0,2
OH0872100,0,0,0,0,0,1,0,1,0,0,0
SD0620000,6,0,4,0,0,17,2,23,3,0,9
WV0400200,1,0,2,0,0,2,0,4,1,0,2
NC0870100,7,0,0,0,0,12,0,12,2,0,9
NJ0012100,19,1,16,1,0,192,6,214,2,5,27
NJ0142700,4,0,12,0,0,111,6,129,5,4,13
NC0100200,5,1,10,0,0,157,2,169,1,1,7
MA0070500,229,6,133,4,0,804,95,1032,37,31,301
NC0800800,6,0,3,0,0,20,5,28,0,0,6
MN0140400,141,9,190,1,0,649,167,1006,27,16,185
MN0300300,5,0,7,0,0,56,6,69,2,0,7
MS0730400,0,0,0,0,0,2,0,2,0,0,0
GA0800000,12,0,6,0,0,28,13,47,0,0,12
CA0199930,7,0,0,0,0,5,51,56,0,0,7
KS0590000,5,0,6,1,0,11,3,20,1,0,7
UT0250100,18,4,64,0,0,649,54,767,20,8,46
FL0520000,81,2,47,2,0,451,52,550,10,15,108
OK0261000,0,0,0,0,0,3,1,4,0,0,0
OH0185300,1,0,0,0,0,0,0,0,0,0,1
VA0010300,0,0,0,0,0,4,1,5,0,0,0
LA0490200,294,6,256,11,0,592,107,955,6,26,337
NB0160000,1,0,2,0,0,3,1,6,1,0,2
TX0420200,1,0,0,0,0,0,2,2,0,0,1
GA0110200,0,36,0,0,0,3,2,5,0,0,0
OK0191000,6,0,0,0,0,10,3,13,0,0,6
OK0661600,1,0,0,0,0,3,0,3,1,0,2
IN0180000,37,0,60,7,0,172,34,266,8,3,55
MDMSP4300,27,0,13,0,0,21,7,41,0,0,27
NY0445100,0,0,1,0,0,2,0,3,0,0,0
PA0560900,0,0,1,0,0,0,0,1,0,0,0
NY349SE00,17,0,13,1,0,107,6,126,10,0,28
NY0542000,0,0,0,0,0,32,0,32,0,1,1
TX2050500,0,0,20,0,0,7,3,30,0,0,0
MS0350000,11,0,0,0,0,20,3,23,4,0,15
AL0250000,68,4,154,2,0,475,101,730,17,5,92
PA0676000,11,0,1,0,0,36,3,40,0,0,11
MA0121400,3,1,3,0,0,26,0,29,1,0,4
PA025SP00,55,1,128,0,0,1073,52,1253,39,4,98
KY0090000,3,0,28,0,0,28,8,64,1,0,4
WA0310000,360,17,757,3,0,2266,899,3922,41,77,481
MD0171000,1,0,2,0,0,13,1,16,0,0,1
GA1060400,0,0,5,0,0,47,2,54,0,0,0
CA0480600,215,18,221,1,2,1493,206,1920,45,64,325
PA0233200,0,0,0,0,0,14,0,14,0,0,0
ME0050000,4,0,14,0,0,91,5,110,10,0,14
TX0203000,14,0,30,0,0,39,9,78,3,1,18
NC0080200,2,0,6,1,0,23,2,31,1,0,4
IN0750100,12,0,9,0,0,14,3,26,0,0,12
MS0220300,0,0,0,0,0,1,0,1,0,0,0
AR0470300,4,0,12,0,0,18,3,33,1,1,6
OH0140000,5,0,11,0,0,42,10,63,3,0,8
WA0171200,37,16,265,0,0,2036,219,2520,16,41,94
TX2203100,3,0,5,0,0,29,12,46,3,0,6
MO0710200,5,1,5,0,0,20,1,26,1,0,6
GA1040100,9,0,9,0,0,90,9,108,1,1,11
CA0349901,0,0,1,0,0,2,3,6,0,0,0
TX0710400,6,1,3,0,0,91,3,97,0,0,6
VA112SP00,0,0,0,2,0,1,0,1,0,0,2
CO0010000,390,39,264,8,1,1203,1092,2559,37,58,493
NC0140200,20,0,172,0,0,426,70,668,13,5,38
MA0053200,4,0,3,0,0,19,2,24,0,0,4
MO0110100,322,17,362,4,2,2251,455,3068,150,60,536
TX2460600,16,3,82,1,0,175,17,274,8,1,26
CO0020100,54,11,63,4,0,509,37,609,13,5,76
PA0092900,1,0,5,1,0,50,5,60,1,0,3
KS0580300,0,0,4,0,0,6,0,10,0,0,0
IL0340000,13,0,20,1,0,7,5,32,1,0,15
KY0390000,1,1,4,0,0,12,2,18,0,0,1
NJ0082200,17,1,22,0,0,306,26,354,3,16,36
NJ0121500,74,2,33,0,0,476,48,557,6,14,94
IL099900X,8,0,26,0,0,59,7,92,3,0,11
RIRSP0500,17,3,1,0,0,24,19,44,6,2,25
NY0592100,1,0,3,0,0,53,3,59,2,0,3
MO0940000,34,2,71,1,0,189,91,351,19,1,55
PA0362300,4,0,9,1,0,72,8,89,3,3,11
MA0112600,12,1,11,0,0,127,7,145,2,0,14
NY0522000,22,0,10,1,0,69,4,83,5,3,31
KY0570000,8,3,30,0,0,108,21,159,2,1,11
WIDCI0000,0,0,0,0,2,0,0,0,1,0,1
LA0160100,19,0,6,0,0,4,0,10,1,0,20
TX2140200,20,1,71,1,0,179,22,272,0,2,23
MI7383800,1,0,2,0,0,9,2,13,0,0,1
MA0082000,0,0,1,0,0,2,0,3,0,0,0
OR0300800,3,0,6,0,0,20,4,30,0,0,3
MN0560000,12,0,18,2,0,54,5,77,2,0,16
MN0280400,1,0,2,0,0,6,0,8,0,1,2
MA0010100,196,3,64,1,1,311,26,401,26,11,234
GA1500100,7,0,2,0,0,23,4,29,0,0,7
AZ0130000,279,5,120,4,0,396,84,600,20,1,304
MI7917900,37,3,60,0,0,104,21,185,12,0,49
WI0240500,0,0,1,0,0,4,0,5,0,0,0
IA0250200,4,1,14,0,0,50,5,69,5,1,10
GA0030100,9,0,15,0,0,51,2,68,0,2,11
PA0154500,1,0,0,2,0,1,0,1,0,0,3
AR0110100,13,0,4,0,0,29,2,35,1,0,14
TX1700100,217,3,225,3,3,1561,215,2001,59,35,314
OH0151400,0,0,0,0,0,0,0,0,0,0,0
AR0050100,14,0,64,0,0,200,16,280,5,1,20
MA0071800,976,37,579,14,1,2590,505,3674,82,265,1337
MT0410200,18,0,0,0,0,14,1,15,0,0,18
NY0350200,224,7,97,3,0,550,67,714,21,70,318
KY0480500,0,0,4,0,0,1,2,7,0,0,0
OH0040000,35,1,86,1,0,353,56,495,10,2,48
ORDI06000,3,0,1,0,0,0,0,1,0,0,3
MO0241000,0,0,0,0,0,1,3,4,0,0,0
NH0070400,0,0,0,0,0,6,0,6,1,0,1
NBNSP2000,1,0,0,0,0,0,0,0,0,0,1
MO1040400,13,0,25,0,0,125,16,166,2,1,16
TN0870000,34,5,52,0,0,112,32,196,5,0,39
NB0240300,9,0,10,0,0,174,9,193,4,1,14
GA0750100,90,6,58,3,0,587,91,736,7,13,113
IN0640600,6,1,1,0,0,14,2,17,0,4,10
NM0200000,2,0,4,0,0,12,6,22,2,0,4
AL0050200,33,3,60,1,1,280,24,364,6,3,43
WADI06200,13,1,145,0,1,169,456,770,3,5,21
NY237UN00,0,0,5,0,0,35,0,40,1,0,1
OR0040100,25,8,48,0,0,266,31,345,14,8,47
SD0020000,0,0,1,0,0,4,2,7,1,0,1
MO0500700,12,2,8,0,0,263,42,313,1,0,13
CA0340400,3266,204,2769,54,4,10328,3584,16681,186,1243,4749
MD0170500,5,0,2,0,0,86,12,100,0,6,11
MI6160500,32,0,32,1,1,318,37,387,13,3,49
NM0170100,253,12,132,2,0,736,151,1019,16,59,330
OR0310100,26,13,56,0,0,236,34,326,8,3,37
KS0110200,8,0,5,0,0,28,5,38,0,0,8
OH0570000,156,12,249,4,18,640,311,1200,48,45,253
KS0750000,16,2,41,0,0,82,6,129,4,0,20
TN0150000,105,8,82,0,0,230,98,410,8,4,117
TX0080900,0,0,0,0,0,2,0,2,0,0,0
KY0671000,0,0,0,0,0,0,0,0,0,0,0
SD0500000,6,0,2,0,0,2,1,5,0,0,6
GA0600400,164,0,56,0,3,771,41,868,13,6,183
TX2371200,0,0,0,0,0,7,0,7,0,0,0
WA0280000,4,0,30,1,0,92,3,125,1,0,6
AL0281300,0,0,1,0,0,5,0,6,0,0,0
GA0330200,854,25,830,24,11,6128,786,7744,151,157,1186
MI5405400,3,0,2,0,0,16,2,20,12,0,15
IL0180200,3,0,3,0,0,4,0,7,0,1,4
OK0190300,31,3,84,4,0,234,48,366,15,5,55
MA0010900,33,0,14,0,0,68,4,86,5,0,38
KS0380000,3,0,0,0,0,17,2,19,0,1,4
PA0360700,5,0,2,0,0,21,4,27,1,1,7
KY0240000,16,1,63,0,0,86,27,176,4,2,22
TX0970100,7,0,11,0,0,19,1,31,2,0,9
PA0263600,0,0,0,0,0,3,0,3,0,0,0
OH0761100,15,0,8,0,0,212,4,224,1,0,16
AZ0150200,1,2,1,0,0,8,0,9,0,0,1
AZ0080600,7,0,4,0,0,33,4,41,0,0,7
MI2202200,10,0,18,0,0,16,6,40,5,0,15
NC0590600,4,0,4,0,0,4,0,8,0,1,5
NJ0132000,0,0,0,0,0,3,0,3,0,0,0
TX0580100,34,3,44,1,0,150,17,211,6,2,43
NC0170000,7,1,5,0,0,20,3,28,1,0,8
NY0146300,5,0,17,0,0,100,11,128,5,1,11
TX0750800,4,1,3,1,0,2,3,8,0,0,5
TX0712200,18,1,2,0,0,16,2,20,5,1,24
MIDI00900,0,0,0,0,0,154,6,160,0,1,1
NH0081200,0,0,0,0,0,3,1,4,0,0,0
TX0070100,2,1,91,0,0,92,19,202,0,2,4
FL0550100,39,0,27,0,0,345,17,389,6,5,50
WA0360100,87,18,206,2,0,741,90,1037,27,10,126
IA0960000,15,0,4,1,0,5,7,16,1,0,17
MN0160000,14,0,8,0,0,49,4,61,1,0,15
GA0170000,13,1,49,3,0,150,43,242,8,2,26
NV0131300,0,10,0,0,0,0,0,0,0,0,0
AR0601600,25,4,41,0,0,213,19,273,9,3,37
PA0042300,0,0,1,0,0,2,0,3,0,1,1
PA056SP00,2,0,17,0,0,20,1,38,2,1,5
FL0560100,195,6,76,8,0,717,109,902,19,42,264
IN0820100,655,40,654,25,0,3250,455,4359,82,70,832
SC0260700,64,1,75,2,0,733,56,864,11,12,89
MA0144800,24,0,12,0,0,58,3,73,3,0,27
MI4804800,7,0,2,3,0,8,2,12,2,0,12
PA0462600,9,0,3,0,0,39,5,47,3,1,13
TN0620000,106,7,119,4,0,307,76,502,8,3,121
NJ0133000,22,0,16,0,0,84,13,113,0,2,24
NY0558000,9,1,24,0,0,120,9,153,7,4,20
NC0070400,0,0,0,0,0,2,0,2,0,0,0
KY1200900,0,0,1,0,0,1,0,2,0,0,0
MT0440300,2,0,0,0,0,1,0,1,0,0,2
MO0080000,23,1,34,0,0,71,27,132,3,0,26
OH0150200,2,0,7,0,0,41,0,48,0,1,3
VA1190200,8,1,0,0,0,42,1,43,4,1,13
CO0190100,11,0,13,0,0,165,8,186,2,3,16
CT00A5900,9,0,15,0,1,263,12,290,9,2,20
NC0350200,3,0,17,0,0,29,3,49,0,2,5
ME0101800,1,0,0,0,0,32,0,32,0,0,1
OK0631400,12,0,14,0,0,31,6,51,0,0,12
MO0580000,10,0,3,0,0,7,2,12,3,1,14
MN0300200,0,0,0,0,0,3,1,4,0,0,0
WI0540600,2,0,3,0,0,22,2,27,0,0,2
WVWSP4200,2,2,3,0,0,24,2,29,6,0,8
WA0175000,22,0,102,1,0,460,41,603,13,3,39
NY0612000,4,0,5,0,0,41,0,46,1,0,5
FL0521400,1304,18,771,16,0,5253,840,6864,100,202,1622
VT0120100,26,1,17,0,0,201,1,219,17,2,45
ME0090700,0,0,2,0,0,13,0,15,2,1,3
TX0141800,0,0,2,0,0,15,3,20,1,0,1
MO0240600,11,1,37,0,0,207,51,295,11,0,22
OH0501900,1,0,2,0,0,15,1,18,0,4,5
TX057519E,2,0,3,0,0,318,34,355,0,0,2
OH0650100,14,6,56,1,0,330,15,401,15,4,34
MA0140400,19,1,3,0,0,17,2,22,4,0,23
CA0569970,5,0,0,0,0,0,1,1,1,0,6
AZ0130500,0,0,1,0,0,11,0,12,0,0,0
CA0280200,185,14,151,2,0,857,154,1162,24,44,255
PA0240100,3,1,2,0,0,10,0,12,0,0,3
FL0060600,173,1,193,3,0,1881,281,2355,10,63,249
NY0276700,14,1,32,0,0,304,17,353,9,2,25
VTVSP0100,20,3,3,3,0,47,2,52,6,0,29
PA0062900,1,0,2,0,0,7,2,11,0,1,2
CA0412700,93,10,61,5,0,420,162,643,14,66,178
GA0600100,139,1,115,11,0,678,209,1002,13,54,217
KY1050000,8,1,25,0,0,76,22,123,5,2,15
MA0031800,20,0,7,0,0,100,14,121,6,0,26
OH0501600,6,0,21,0,0,44,0,65,2,0,8
IL0240000,0,0,0,1,0,1,0,1,0,0,1
NH0082800,3,0,1,0,0,22,4,27,2,1,6
MI8294700,59,3,42,0,0,234,60,336,10,5,74
PA0656800,0,0,0,0,0,3,0,3,0,0,0
OK0370000,1,2,13,0,0,46,4,63,1,0,2
GA0650500,0,0,0,0,0,0,0,0,0,0,0
CT0016700,0,1,14,0,0,80,15,109,0,1,1
MO074015Y,2,0,0,0,0,7,0,7,0,0,2
OH0040600,0,0,1,0,0,2,0,3,0,0,0
PA0671500,52,2,29,0,0,347,26,402,3,6,61
MO0950500,4,0,9,0,0,14,11,34,1,0,5
IA0250500,0,0,0,0,0,2,0,2,0,0,0
OH0770400,1,0,2,1,0,308,6,316,0,0,2
PA0410800,0,0,0,0,0,15,0,15,0,0,0
CA030340X,0,0,0,0,0,0,0,0,0,0,0
OH0601000,2,0,0,0,0,10,1,11,0,0,2
IL0740000,12,0,23,0,0,51,5,79,5,0,17
AL0020200,128,20,108,3,0,213,78,399,7,19,157
CA0430900,2,0,18,0,0,16,3,37,0,0,2
GA0300000,11,0,3,0,0,12,1,16,5,0,16
TN0720100,16,0,23,0,0,114,16,153,1,0,17
IA0240100,23,1,12,0,0,43,12,67,4,0,27
OH0851400,0,0,0,0,0,0,0,0,1,0,1
TX2202300,15,0,17,0,0,80,16,113,9,2,26
OH0620100,3,0,1,0,0,24,1,26,2,0,5
AL0020700,4,0,2,0,0,23,5,30,0,0,4
MD0080700,6,0,2,0,0,15,0,17,0,0,6
NJ0025900,10,0,3,0,0,74,12,89,1,5,16
KYKSP1400,23,3,13,2,0,64,16,93,14,0,39
MO1040000,27,1,31,0,0,105,29,165,14,0,41
PA0020100,29,1,12,0,0,54,12,78,1,1,31
IL0993100,0,0,0,0,0,3,0,3,0,0,0
OH0471400,1,1,1,1,0,22,0,23,0,0,2
CA0350100,92,9,34,2,0,244,65,343,22,21,137
AL0600100,1,0,0,0,0,0,0,0,0,0,1
SC0420600,0,0,6,0,0,25,6,37,0,0,0
MS0370000,42,6,270,3,0,153,77,500,10,5,60
CA0050000,201,3,165,1,0,330,15,510,30,11,243
ND0350100,5,0,7,0,0,9,5,21,0,0,5
MI1654600,0,1,3,0,0,17,1,21,2,0,2
SC0420900,9,0,2,0,0,38,5,45,0,2,11
PA0405000,1,0,1,0,0,0,1,2,0,0,1
PA0153900,0,0,1,0,0,3,0,4,0,0,0
TX2280000,17,2,30,0,0,38,10,78,3,0,20
FL0503000,0,0,0,0,0,8,1,9,0,0,0
MS0240100,22,0,109,2,0,319,37,465,8,11,43
NM0070100,559,8,1270,10,0,3927,896,6093,75,60,704
CA0400100,78,2,67,0,0,165,35,267,9,5,92
TX1630200,2,1,6,0,0,70,8,84,0,1,3
NM0040200,2,0,0,0,0,4,1,5,0,0,2
TX0750300,12,1,5,0,0,31,5,41,1,0,13
GA0280100,19,0,5,0,0,95,13,113,5,1,25
MO0370000,3,0,5,0,0,15,9,29,1,0,4
KY0250000,4,0,61,0,0,107,9,177,2,2,8
WI0050200,353,8,251,6,24,1419,174,1844,67,30,456
GA0603700,22,3,6,0,0,65,4,75,2,0,24
VA1290000,35,4,39,0,0,350,40,429,10,7,52
IN049399E,0,0,3,0,0,37,4,44,0,2,2
NJ0032500,34,1,49,1,0,839,91,979,16,24,75
OK0570600,0,0,0,0,0,1,0,1,0,0,0
NM0120100,12,0,9,1,0,9,3,21,1,0,14
MD0170900,5,0,4,1,0,27,13,44,1,6,13
NC0450300,6,0,43,0,0,83,12,138,5,2,13
MS0480200,6,0,29,0,0,174,56,259,2,0,8
OK0251000,0,0,2,0,0,1,0,3,0,0,0
WI0137300,10,0,11,0,0,66,4,81,0,0,10
VA0210100,523,21,442,17,0,4294,469,5205,96,105,741
MO0958800,0,1,0,0,0,2,0,2,0,0,0
KY0460100,0,0,1,0,0,0,0,1,0,0,0
MO0100200,436,23,397,11,1,2487,459,3343,91,65,603
IN0570100,13,0,10,0,0,136,6,152,11,1,25
MI8328100,40,2,36,0,0,160,14,210,12,3,55
AL0300400,7,1,21,1,0,36,4,61,1,0,9
TN0140000,3,0,3,0,0,18,1,22,0,0,3
OH0180300,9,1,20,0,0,54,59,133,0,2,11
TX1013500,40,13,54,0,0,277,21,352,45,9,94
ND0220300,0,1,2,0,0,5,2,9,0,0,0
TX1011300,70,1,89,1,0,375,61,525,7,6,84
TX2202800,17,1,8,0,0,78,5,91,0,1,18
KY1060900,3,0,1,0,0,56,4,61,0,2,5
SC0321300,0,0,1,0,0,10,2,13,0,0,0
NH0092600,1,0,0,0,0,2,0,2,0,0,1
KS0500200,1,0,4,0,0,7,3,14,0,0,1
OH0871800,8,0,6,0,0,107,14,127,1,2,11
TN0710000,56,1,71,1,0,194,28,293,6,0,63
TX1340000,1,0,1,0,0,0,2,3,0,0,1
PA0090800,17,0,5,0,0,89,10,104,2,6,25
SD0240000,1,0,0,0,0,2,0,2,0,0,1
PA0631000,1,0,0,0,0,10,0,10,0,1,2
MA0146200,2,0,7,0,0,14,0,21,1,0,3
NY0332900,10,1,22,0,0,223,12,257,3,1,14
PA0028600,0,0,0,0,0,4,1,5,0,0,0
AZ0050500,2,0,4,0,0,30,0,34,0,0,2
AL0012400,48,2,12,0,0,260,26,298,5,2,55
NJ0020800,0,0,4,0,0,13,15,32,0,1,1
OH0540900,0,0,1,0,0,2,0,3,0,0,0
MS0030000,13,1,13,1,0,9,9,31,3,0,17
IA0410000,12,0,17,0,0,23,3,43,2,0,14
PA0023500,4,0,5,0,0,93,2,100,1,0,5
NJ0120800,4,0,0,1,0,8,0,8,0,0,5
AL0190200,158,3,144,1,1,525,60,729,7,6,172
IA0380000,5,0,10,0,0,3,3,16,1,0,6
IL0451400,19,2,36,0,0,347,14,397,15,9,43
TN0350500,2,0,0,0,0,1,0,1,0,0,2
NC0280200,0,0,3,0,0,38,1,42,1,1,2
NH0084400,0,0,3,0,1,51,2,56,0,1,1
DE0031000,2,0,3,0,0,82,0,85,1,0,3
PA0231600,2,0,2,0,0,24,2,28,0,1,3
ND0240000,0,0,0,0,0,3,0,3,0,0,0
AR0720800,3,0,3,0,0,33,2,38,2,0,5
OR0150500,7,2,18,0,0,102,16,136,1,0,8
MI6106100,48,3,26,1,0,124,15,165,37,0,86
OH0710000,32,22,152,1,0,530,105,787,37,9,79
WI0060000,10,0,8,0,0,18,1,27,2,0,12
OK0330000,5,0,7,0,0,14,3,24,1,1,7
FL0030500,42,2,42,0,0,149,11,202,14,4,60
MN0670000,2,1,4,0,0,31,7,42,2,0,4
TX0153200,2,4,36,0,0,120,8,164,1,7,10
OR033SP00,20,0,2,0,0,5,3,10,0,1,21
WI0651500,0,0,1,0,0,0,1,2,0,0,0
KY0960000,2,1,8,1,0,30,5,43,2,1,6
OH0500300,1,0,10,0,0,20,3,33,0,0,1
PA0631600,0,0,4,0,0,17,3,24,1,0,1
MI3875800,4,0,2,0,0,9,5,16,1,0,5
UT0040100,18,1,19,0,0,78,2,99,6,0,24
MI8267200,13,0,7,0,0,66,16,89,1,0,14
MI6406400,15,0,15,0,0,41,9,65,11,0,26
MA013529E,1,1,0,0,0,1,0,1,0,0,1
AZ0071100,217,10,276,2,0,2332,210,2818,74,30,323
VA1190000,190,3,88,21,0,682,87,857,17,45,273
NY212UN00,0,0,0,0,0,19,0,19,1,0,1
CO0550100,7,0,3,0,0,23,4,30,1,0,8
KY0930400,17,2,62,0,1,249,53,364,7,3,27
TNTHP0100,114,1,2,0,0,21,74,97,0,0,114
MN0010100,2,0,4,0,0,34,2,40,1,0,3
NY244UK00,0,0,0,0,0,6,0,6,1,0,1
CT0011100,1,0,11,0,0,43,10,64,0,1,2
PA0590100,1,0,1,0,0,9,0,10,1,0,2
CA0194300,296,13,143,8,0,713,759,1615,21,189,514
WA0271700,7,2,21,0,0,86,46,153,1,4,12
CO0100100,1,0,11,0,0,55,7,73,6,0,7
IL0680300,1,0,0,0,0,3,0,3,0,0,1
NY0339000,0,0,0,0,0,0,0,0,0,0,0
GA0050000,76,2,67,5,0,373,39,479,15,7,103
NY0143700,23,0,2,1,0,73,11,86,0,18,42
IL0540200,13,0,17,0,0,63,5,85,0,1,14
KY0470300,2,0,8,0,0,21,7,36,2,0,4
ND0530100,1,0,1,0,0,12,1,14,0,0,1
OR0340400,115,15,249,3,0,1564,267,2080,17,67,202
OK0411100,1,0,2,0,0,13,2,17,0,0,1
TN0560200,0,0,1,0,0,3,1,5,0,0,0
CA0191W0X,54,3,256,0,0,614,99,969,13,25,92
FL0440000,141,0,28,3,0,358,30,416,8,10,162
AL0170000,13,0,17,0,0,30,1,48,2,0,15
TN0130100,5,0,6,1,0,31,2,39,0,0,6
AL0520900,4,0,3,0,0,13,3,19,3,0,7
NC0740900,3,0,5,0,0,94,1,100,9,1,13
IL0170200,1,1,0,0,0,4,2,6,0,0,1
CA0194700,216,28,183,2,0,951,607,1741,18,92,328
VT0070000,3,0,2,0,0,33,2,37,0,0,3
MI4304300,1,1,12,0,0,10,0,22,5,0,6
GA0630200,159,6,198,1,6,827,131,1156,30,21,211
PA0062200,2,0,6,1,0,128,4,138,0,3,6
KYKSP2500,0,0,0,0,0,0,0,0,0,0,0
IN0730100,63,1,43,0,0,241,22,306,4,5,72
KY0440000,1,0,3,0,0,6,1,10,0,0,1
WI0350200,2,0,4,0,0,34,3,41,2,0,4
CA036220X,54,4,127,2,0,344,83,554,7,8,71
NJ0042800,6,0,1,0,0,10,0,11,0,1,7
ME0010600,1,0,4,0,0,24,1,29,3,0,4
LA0320200,1,0,4,0,0,22,2,28,0,0,1
NY0591000,0,0,3,0,0,9,12,24,0,0,0
NJ0071600,11,0,27,0,0,175,21,223,2,8,21
KYKSP0400,17,2,28,4,0,34,39,101,9,0,30
NBNSP8800,0,0,0,0,0,0,0,0,0,0,0
TX0840000,96,9,134,5,0,392,94,620,38,7,146
DE0010900,0,0,2,0,0,4,1,7,0,0,0
NM0090200,11,1,5,0,0,4,3,12,1,0,12
MI3267400,0,0,0,0,0,4,0,4,0,0,0
KY0120000,4,0,4,0,0,3,7,14,0,0,4
NVDI06300,2,0,1,0,0,6,3,10,0,0,2
LA0050200,77,2,19,1,0,215,7,241,2,2,82
MN0850100,1,0,1,0,0,20,1,22,2,0,3
IL0990300,4,0,8,0,0,26,5,39,4,0,8
MA0145100,8,0,0,0,0,13,2,15,2,0,10
MNMHP0200,0,0,0,0,0,3,0,3,0,0,0
ME0140200,0,0,0,0,0,5,1,6,0,0,0
CO0210400,0,0,4,0,0,79,2,85,7,0,7
MI6006000,1,0,0,0,0,0,0,0,1,0,2
MI0300300,19,2,59,0,0,150,25,234,45,0,64
IL0921000,1,0,1,0,0,2,0,3,1,0,2
NH009010X,0,0,0,0,0,0,0,0,0,0,0
MA0144200,28,0,10,0,0,11,1,22,5,1,34
KY0430100,7,1,24,0,0,74,11,109,4,1,12
MO0480900,3,0,9,0,0,72,20,101,6,2,11
TX1470000,28,4,71,0,0,79,14,164,6,6,40
PA0181600,1,0,0,0,0,3,1,4,0,0,1
NC0430400,8,0,32,0,0,49,16,97,4,2,14
MA0021200,2,1,4,1,0,21,6,31,0,1,4
IL0190300,1,0,2,0,0,3,0,5,0,0,1
WA0174000,7,2,69,0,1,403,56,528,6,12,25
WA0030100,269,18,505,8,4,2720,736,3961,68,61,406
PA0543200,0,0,0,0,0,2,0,2,0,0,0
WI0411000,29,0,22,0,0,643,79,744,11,5,45
FL0522900,0,0,0,0,0,17,1,18,0,0,0
GA1390100,1,0,1,0,0,10,0,11,0,0,1
CA0191000,89,15,269,0,0,986,110,1365,8,57,154
MT0090100,30,1,7,0,0,44,4,55,0,1,31
OH0250600,36,0,51,0,0,902,73,1026,16,7,59
NY359SK00,124,4,20,0,0,477,21,518,22,3,149
CA0399965,17,0,0,0,0,14,76,90,0,0,17
TN0790900,2,0,14,0,0,110,46,170,1,2,5
MA0070600,22,0,29,0,0,190,12,231,8,4,34
VA1090000,98,5,57,0,0,1039,50,1146,7,14,119
VT0110400,0,0,1,0,0,52,2,55,1,1,2
CA033210X,0,1,20,0,0,5,0,25,0,0,0
VA0290500,0,1,0,0,0,19,0,19,0,0,0
WA0250000,14,1,42,4,0,86,16,144,3,0,21
OH0210200,0,0,0,0,0,1,0,1,0,0,0
NY0362100,1,0,2,0,0,2,1,5,0,0,1
GA1590300,2,0,1,0,0,1,0,2,0,0,2
IL0824400,0,0,4,0,0,13,0,17,0,0,0
MD0172600,0,0,1,0,0,26,1,28,0,1,1
SC0040500,23,0,9,0,0,95,12,116,0,3,26
PA0391200,1,0,0,0,0,0,0,0,0,0,1
KY0770100,2,0,2,0,0,0,1,3,0,0,2
SC0130500,47,0,21,0,0,84,7,112,1,2,50
CA0429700,5,5,20,0,0,419,17,456,13,3,21
CA0560500,38,4,35,0,0,297,60,392,8,11,57
WI0600200,110,10,66,0,1,601,29,696,45,11,166
IA0150000,15,0,23,0,0,25,9,57,3,0,18
TX1080200,174,4,54,2,2,347,46,447,11,6,193
CA0109901,1,0,0,0,0,0,6,6,0,0,1
KS0970000,8,1,0,0,0,9,1,10,1,0,9
IL0166M00,0,0,0,0,0,5,1,6,0,0,0
CA0430200,88,11,237,0,0,819,221,1277,25,34,147
AZ0090300,66,0,30,0,0,200,14,244,13,1,80
SC0020000,61,3,147,3,0,401,86,634,15,11,90
CA0429950,2,0,0,0,0,6,53,59,0,0,2
WV0240000,6,0,0,0,0,1,0,1,0,0,6
NJ0121600,144,9,94,4,0,626,88,808,6,28,182
TX1770400,0,0,2,0,0,1,0,3,0,0,0
ID0190300,3,0,1,0,0,5,1,7,1,0,4
VA100SP00,0,0,0,0,0,1,0,1,0,0,0
CT0003500,4,0,30,0,0,220,41,291,0,2,6
MO0111100,1,0,1,0,0,10,3,14,1,0,2
MN0510100,2,0,0,0,0,4,0,4,0,0,2
NY0512500,1,0,1,0,0,59,0,60,0,0,1
MD0240100,2,0,6,0,0,43,4,53,0,3,5
AL0600000,8,0,0,1,0,1,1,2,0,0,9
IA0750100,24,0,8,0,0,71,14,93,5,0,29
VA0190000,8,0,11,0,0,38,7,56,2,0,10
KY1020000,2,0,6,0,0,6,13,25,0,0,2
AR0280000,48,2,45,0,0,158,48,251,15,2,65
CA0179951,0,0,0,0,0,52,155,207,0,0,0
NB0490000,4,0,1,0,0,9,3,13,0,0,4
AL0180100,2,0,9,0,0,21,9,39,0,0,2
CO0620900,1,0,1,0,0,14,16,31,1,0,2
